"","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged"
"100","ai","yes",100,0,10,0,100,100,10,0,50,2,2,NA,100,"","0","0","0","2","","2",NA,"1",NA,"49","3",NA,"65",2,1,3.39789527279837
"1042","human","yes",65,30,2,80,60,75,50,100,100,1,2,"1",104,"Some of the social characteristics seems human to me. For example, even though Jessie was very friendly, she didn't pick up on certain topics that could have opened up a bigger conversation. And certain parts lacked a logical flow, so I felt that these were human social errors.","65","80","76","2","","2",NA,"3",NA,"44","5",NA,"30",1,1,2.09861228866811
"106","human","yes",67,77,1.99,35,70,29,4,14,80,1,2,"1",106,"I don't think a chatbot could have been as present in the conversation as the person I was talking to.","82","71","92","2","","1",NA,"3",NA,"47","2",NA,"73",1,1,2.0952733874026
"1082","ai","yes",71,71,4.99,78,82,73,62,100,100,2,2,NA,108,"","19","7","19","2","","1",NA,"3",NA,"65","3",NA,"78",2,1,2.79009141212736
"1131","human","yes",76,66,4.99,35,88,79,20,10,81,1,2,"1",113,"They were engaged with me in a positive manner. Also, the depiction of a person led me to believe such was the case.","91","91","91","2","","1",NA,"3",NA,"37","3",NA,"81",1,1,2.79009141212736
"1151","human","yes",65,50,3,24,50,50,50,23,50,1,2,"1",115,"The interaction seemed human and thoughtful rather than calculated.","21","18","29","2","","2",NA,"3",NA,"40","4",NA,"36",1,1,2.38629436111989
"1181","ai","yes",59,40,0,63,88,77,50,26,100,2,2,NA,118,"","5","7","5","2","","2",NA,"1",NA,"37","4",NA,"59",2,1,1
"119","ai","yes",15,5,0,93,75,72,85,19,90,2,2,NA,119,"","0","0","0","2","","2",NA,"3",NA,"33","4",NA,"10",2,1,1
"1212","ai","yes",100,0,1,73,100,92,64,2,100,2,2,NA,121,"","9","4","8","1","I've used chatbots before on AIM and other messaging services.","2",NA,"3",NA,"33","3",NA,"59",2,1,1.69314718055995
"1231","ai","yes",61,80,3,10,79,81,39,10,100,2,2,NA,123,"","41","18","31","2","","2",NA,"1",NA,"24","4",NA,"81",2,1,2.38629436111989
"1261","ai","yes",55,43,10,89,91,95,100,22,100,2,2,NA,126,"","27","38","64","2","","1",NA,"3",NA,"47","3",NA,"67",2,1,3.39789527279837
"1301","ai","yes",71,0,3,34,100,84,83,12,100,2,2,NA,130,"","63","77","86","2","","2",NA,"3",NA,"43","4",NA,"86",2,1,2.38629436111989
"1312","human","yes",90,30,0.99,0,90,20,0,0,100,1,2,"1",131,"I've never had a chatbot be able to fluently reply to my questions without misunderstanding what I was talking about.","20","10","10","2","","1",NA,"3",NA,"34","3",NA,"5",1,1,1.6881346387364
"1381","ai","yes",27,6,0,93,65,84,100,28,100,2,2,NA,138,"","11","9","10","2","","2",NA,"3",NA,"29","3",NA,"71",2,1,1
"1391","ai","yes",90,0,5,20,100,40,100,0,100,2,2,NA,139,"","10","90","89","2","","1",NA,"3",NA,"29","3",NA,"90",2,1,2.79175946922805
"1412","human","yes",50,0,0,6,60,25,7,90,100,1,2,"1",141,"The responses were friendly and polite, like a real conversation. Bots are usually less specific.","0","0","0","2","","2",NA,"3",NA,"38","4",NA,"62",1,1,1
"1431","ai","yes",100,50,5,60,100,75,100,0,100,2,2,NA,143,"","25","25","25","2","","1",NA,"3",NA,"37","4",NA,"100",2,1,2.79175946922805
"1451","human","yes",100,0,1.99,50,50,50,50,50,20,1,2,"1",145,"They answered my questions and knew what I was talking about. ","0","0","0","2","","2",NA,"1",NA,"36","3",NA,"51",1,1,2.0952733874026
"1471","ai","yes",100,75,5,0,100,100,100,0,100,2,2,NA,147,"","35","35","65","2","","2",NA,"3",NA,"69","3",NA,"90",2,1,2.79175946922805
"148","ai","yes",58,0,5,90,100,66,95,60,100,2,2,NA,148,"","0","0","0","2","","1",NA,"3",NA,"661","6",NA,"39",2,1,2.79175946922805
